block,pathway_size,missing_frac,method,strategy,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se
C,5,0,acat,analytic_fallback,0.9830581811971254,0.1357577756920469,0.042,0.008970618707759236,0.008,0.003983967871356395
C,5,0,acat,mvn_true_cor,0.8776206827517006,0.1087634591284529,0.036,0.008331146379700696,0.008,0.003983967871356395
C,5,0,acat,mvn_imputed_cor,0.8776206827517006,0.11420140597774857,0.036,0.008331146379700696,0.008,0.003983967871356395
C,5,0,fisher,analytic_fallback,0.5471482139104744,0.13916387707580408,0.116,0.014320893826853127,0.042,0.008970618707759236
C,5,0,fisher,mvn_true_cor,0.8947222504078461,0.12091855718441442,0.04,0.008763560920082658,0.008,0.003983967871356395
C,5,0,fisher,mvn_imputed_cor,0.8947222504078461,0.1212721912106731,0.04,0.008763560920082658,0.008,0.003983967871356395
C,5,0,tfisher,analytic_fallback,0.19186263378543592,4.135384286139111e-8,0.028,0.007377804551490911,0.026,0.007116740827092132
C,5,0,tfisher,mvn_true_cor,0.9076938703041264,0.12222957702217234,0.032,0.0078709592807992609,0.008,0.003983967871356395
C,5,0,tfisher,mvn_imputed_cor,0.9076938703041264,0.12776817200916685,0.032,0.0078709592807992609,0.008,0.003983967871356395
C,5,0,minp,analytic_fallback,0.34971637593310345,0.05333645074172511,0.03,0.00762889244910426,0.008,0.003983967871356395
C,5,0,minp,mvn_true_cor,0.9908058651878429,0.10266843542949733,0.038,0.00855055553750749,0.008,0.003983967871356395
C,5,0,minp,mvn_imputed_cor,0.9908058651878429,0.10477455361426379,0.038,0.00855055553750749,0.008,0.003983967871356395
C,5,0,stouffer,analytic_fallback,0.9450977660951274,0.24548315155813244,0.172,0.0168769665520792,0.074,0.011706750189527408
C,5,0,stouffer,mvn_true_cor,0.8586508995058287,0.11302924988325727,0.038,0.00855055553750749,0.006,0.0034536936748935914
C,5,0,stouffer,mvn_imputed_cor,0.8586508995058287,0.13814012481757731,0.038,0.00855055553750749,0.006,0.0034536936748935914
C,5,0,omnibus,analytic_fallback,0.5121714326045569,0.09006739448270004,0.102,0.013534843922262273,0.044,0.009172131704244111
C,5,0,omnibus,mvn_true_cor,0.9700355123794231,0.12432770109820854,0.04,0.008763560920082658,0.008,0.003983967871356395
C,5,0,omnibus,mvn_imputed_cor,0.9700355123794231,0.1293380116503063,0.04,0.008763560920082658,0.008,0.003983967871356395
C,5,0.1,acat,analytic_fallback,1.043319192742326,0.10438258400432672,0.072,0.011559930795640603,0.018,0.005945754788081997
C,5,0.1,acat,mvn_true_cor,0.9340503759668233,0.09047988574637247,0.068,0.011258419071965654,0.014,0.00525433154644813
C,5,0.1,acat,mvn_imputed_cor,1.0000019754298992,0.08829309192205968,0.068,0.011258419071965654,0.012,0.004869496893930624
C,5,0.1,fisher,analytic_fallback,0.5305170414688744,0.1200634832153902,0.148,0.015880554146502572,0.08,0.01213260071048248
C,5,0.1,fisher,mvn_true_cor,0.877613494962224,0.10295453880524431,0.08,0.01213260071048248,0.012,0.004869496893930624
C,5,0.1,fisher,mvn_imputed_cor,0.8358595664741034,0.11584618843856825,0.06,0.010620734437881401,0.006,0.0034536936748935914
C,5,0.1,tfisher,analytic_fallback,0.19186270722451193,4.162940877696416e-8,0.066,0.011103512957618413,0.066,0.011103512957618413
C,5,0.1,tfisher,mvn_true_cor,1.0815683859831764,0.10922338516360833,0.066,0.011103512957618413,0.01,0.0044497190922573975
C,5,0.1,tfisher,mvn_imputed_cor,1.0117017542101918,0.10405317624847965,0.066,0.011103512957618413,0.006,0.0034536936748935914
C,5,0.1,minp,analytic_fallback,0.2942202487836649,0.06417555569794015,0.054,0.010107818755794942,0.012,0.004869496893930624
C,5,0.1,minp,mvn_true_cor,0.9012044182526406,0.11322761037330674,0.06,0.010620734437881401,0.012,0.004869496893930624
C,5,0.1,minp,mvn_imputed_cor,0.7545685162559681,0.12454099209336303,0.056,0.010282412168358162,0.01,0.0044497190922573975
C,5,0.1,stouffer,analytic_fallback,1.1310168417518323,0.15801874726810936,0.19,0.017544229820656135,0.106,0.013766916866168693
C,5,0.1,stouffer,mvn_true_cor,0.9609553066408978,0.06894752048739052,0.07,0.011410521460476731,0.016,0.005611416933360059
C,5,0.1,stouffer,mvn_imputed_cor,1.0164103112365412,0.070630278015113665,0.062,0.010784804124322332,0.012,0.004869496893930624
C,5,0.1,omnibus,analytic_fallback,0.45537227694643156,0.08075465128484842,0.13,0.015039946808416579,0.082,0.012269963325128565
C,5,0.1,omnibus,mvn_true_cor,0.862882904266264,0.11304447738975915,0.078,0.011992997957141493,0.01,0.0044497190922573975
