GENE,score,magma_rank,magma_p,gwas_rank,gwas_min_p,pathway_rank,best_pathway_name,n_top_pathways,hit_gwas,hit_magma,hit_pathway
SORBI_3004G140501,9.06060434897054,1,2.9519e-11,1,3.975969e-15,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3008G028800,7.48082075235373,2,3.7061e-11,19,2.271261e-12,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3004G140800,8.10636183953122,3,4.0962e-11,3,3.975969e-15,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3008G028850,7.1575143619786,4,1.5175e-10,20,2.271261e-12,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3009G083900,6.79343262056753,5,2.6855e-10,37,1.276774e-11,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3004G102200,7.24106041342867,6,2.7688e-10,11,7.925157e-13,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3008G028900,7.51653630462027,7,3.0183e-10,5,3.107246e-13,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3009G090500,7.55545437065064,8,6.53e-10,4,1.445844e-13,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3008G029300,7.20327185253927,9,7.7657e-10,8,3.107246e-13,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3008G029200,8.49249833690093,10,1.0193e-9,7,3.107246e-13,3,oleate biosynthesis I (plants),4,TRUE,TRUE,TRUE
