method,lambda
omni_p_final,2.60452768028446
omni_p_mvn,2.60452768028446
omni_p_analytic,1.78817023847544
acat_p,2.27480835046513
fisher_p,2.24724212056863
minp_p_analytic,1.82544537729666
stouffer_p_analytic,2.32764306366122
tfisher_p_analytic,0.342326283723102
