"GENE","magma_p","magma_z","n_top_pathways","best_pathway_p","pathway_rank","pathways","gwas_min_p","gwas_rank","magma_rank","hit_gwas","hit_magma","hit_pathway","support_layers","score"
"AT1G74458",1.82706847401204e-05,4.28503934924948,0,NA,NA,NA,1.82706847401204e-05,1,1,FALSE,FALSE,FALSE,0,8.90028258268494
"AT1G74450",3.04831922357843e-05,4.16982627094867,0,NA,NA,NA,3.04831922357843e-05,2,2,FALSE,FALSE,FALSE,0,8.29822259135697
"AT5G28180",3.22074718770752e-05,4.15726896677299,0,NA,NA,NA,3.22074718770752e-05,3,3,FALSE,FALSE,FALSE,0,7.94604007324561
"AT1G15960",4.12394145318312e-05,4.10042383820094,0,NA,NA,NA,4.12394145318312e-05,4,4,FALSE,FALSE,FALSE,0,7.69616260002901
"AT3G20935",4.87713779284166e-05,4.06143796852019,0,NA,NA,NA,4.87713779284166e-05,5,5,FALSE,FALSE,FALSE,0,7.5023425740129
"AT5G55170",4.94927276161263e-05,4.05800962948164,0,NA,NA,NA,4.94927276161263e-05,6,6,FALSE,FALSE,FALSE,0,7.34398008191765
"AT1G74440",5.28960612007463e-05,4.04244793129942,0,NA,NA,NA,5.28960612007463e-05,7,7,FALSE,FALSE,FALSE,0,7.21008650265642
"AT1G15980",5.85111780192831e-05,4.01873602754586,0,NA,NA,NA,5.85111780192831e-05,8,8,FALSE,FALSE,FALSE,0,7.09410260870105
"AT5G28190",0.000105923606052464,3.87660615838126,0,NA,NA,NA,0.000105923606052464,9,9,FALSE,FALSE,FALSE,0,6.99179756380629
"AT5G55380",0.000197459400173337,3.72224485425012,1,7.6999923000077e-05,1,"PWY-5884",0.000197459400173337,15,15,FALSE,FALSE,TRUE,1,6.95945103548575
"AT1G74430",0.000113731623357369,3.8592584193425,0,NA,NA,NA,0.000113731623357369,10,10,FALSE,FALSE,FALSE,0,6.90028258268494
"AT1G74420",0.000127616540611876,3.83101342638016,0,NA,NA,NA,0.000127616540611876,11,11,FALSE,FALSE,FALSE,0,6.81749721236849
"AT3G20940",0.000133631662707589,3.81966754822052,0,NA,NA,NA,0.000133631662707589,12,12,FALSE,FALSE,FALSE,0,6.74192009058969
"AT5G55340",0.000312053835340537,3.6050824553193,1,7.6999923000077e-05,1,"PWY-5884",0.000312053835340537,20,20,FALSE,FALSE,TRUE,1,6.70957356226915
"AT1G74460",0.00016808658648428,3.76270327717373,0,NA,NA,NA,0.00016808658648428,13,13,FALSE,FALSE,FALSE,0,6.67239587807126
"AT5G55550",0.000194549145578842,3.72599125944383,0,NA,NA,NA,0.000194549145578842,14,14,FALSE,FALSE,FALSE,0,6.60802651132846
"AT5G55350",0.000360231618070343,3.56762494731458,1,7.6999923000077e-05,1,"PWY-5884",0.000360231618070343,24,24,FALSE,FALSE,TRUE,1,6.5512110701739
"AT1G15920",0.000205905199648894,3.7116590762004,0,NA,NA,NA,0.000205905199648894,16,16,FALSE,FALSE,FALSE,0,6.49204261737309
"AT5G55560",0.000217058129544291,3.698288468575,0,NA,NA,NA,0.000217058129544291,17,17,FALSE,FALSE,FALSE,0,6.43938473992839
"AT1G15930",0.000226514461058638,3.68744788957426,0,NA,NA,NA,0.000226514461058638,18,18,FALSE,FALSE,FALSE,0,6.38973757247833
"AT3G20740",0.000299559358596412,3.61568076064364,0,NA,NA,NA,0.000299559358596412,19,19,FALSE,FALSE,FALSE,0,6.34277538077928
"AT5G55565",0.000335433906379676,3.58627602438612,0,NA,NA,NA,0.000335433906379676,21,21,FALSE,FALSE,FALSE,0,6.2558439932171
