GENE ZSTAT P
AT1G01010 -0.283479814681535 0.776809052872118
AT1G01020 -0.208695174145701 0.834686207668392
AT1G01030 -0.281822616418598 0.778079528156677
AT1G01040 -0.690934648422365 0.489606610816411
AT1G01050 -0.763142275556564 0.445378550052525
AT1G01060 -0.658217651364991 0.510398284069998
AT1G01070 -0.420772274086726 0.673921379443875
AT1G01080 0.0613590557042251 0.951073259701744
AT1G01090 0.180174959748868 0.857015215942292
AT1G01100 0.0987045700304462 0.921372840228276
AT1G01110 0.0602991821074598 0.951917353346151
AT1G01120 -0.858903786635167 0.390393600121412
AT1G01130 -0.701756885696728 0.482830790467459
AT1G01140 0.370252939897794 0.711194034551996
AT1G01150 0.496275648087325 0.61969994495693
AT1G01160 0.610948674767636 0.541233559439217
AT1G01170 0.753536984141358 0.45112729552593
AT1G01180 0.686411352941561 0.492453747352689
AT1G01190 0.469105619452212 0.638994142565547
AT1G01200 -0.228723800740959 0.81908359478819
AT1G01210 -0.195398302650114 0.845081145290982
AT1G01220 -0.567406659947337 0.570437926116245
AT1G01225 -0.174752108702564 0.861274420878216
AT1G01230 -0.100905270087698 0.919625659538999
AT1G01240 -0.0743518597821407 0.940730413049467
AT1G01250 0.0605457388096161 0.951720988339921
AT1G01260 0.241231617240144 0.809375607332717
AT1G01280 0.279977324470499 0.779494901895221
AT1G01290 0.299912003155895 0.764244278356274
AT1G01300 0.0893310051269074 0.928818854035221
AT1G01305 -0.43629360844609 0.662623718595553
AT1G01310 -0.467360947496942 0.640241657962968
AT1G01320 -0.773763537333483 0.439070638749106
AT1G01340 -0.811369086465455 0.417153746393972
AT1G01350 -0.650662419220816 0.515264427550133
AT1G01355 -0.61541534382445 0.538280460833972
AT1G01360 -0.59601672997711 0.551164050392393
AT1G01370 -0.333239181049662 0.738953744463971
AT1G01380 -0.297719216748513 0.765917475323056
AT1G01390 0.105363118067013 0.916087680642577
AT1G01400 0.279788052393192 0.779640118583479
AT1G01410 0.268051889666369 0.788659377494059
AT1G01420 0.322651092610889 0.746959495070508
AT1G01430 0.365495444948762 0.714741606388301
AT1G01440 0.510919658967398 0.609407314823817
AT1G01450 0.827959436703333 0.407693472377024
AT1G01453 0.994405465180848 0.320025508508553
AT1G01460 0.915621540107153 0.359865429639818
AT1G01470 0.895544844366845 0.370495904818705
AT1G01480 0.88734657906622 0.374892335166498
