method,alpha,n,observed,ci_lo,ci_hi,calibrated
omni_p_final,0.05,28630,0.51341250436605,0.50760429132699,0.519217994869021,FALSE
omni_p_final,0.01,28630,0.380335312609151,0.374706824846757,0.385988093351691,FALSE
omni_p_mvn,0.05,28630,0.51341250436605,0.50760429132699,0.519217994869021,FALSE
omni_p_mvn,0.01,28630,0.380335312609151,0.374706824846757,0.385988093351691,FALSE
omni_p_analytic,0.05,28630,0.54984282221446,0.54405767380996,0.55561785309108,FALSE
omni_p_analytic,0.01,28630,0.430527418791478,0.424781708517893,0.43628723147978,FALSE
acat_p,0.05,28630,0.371917568983584,0.366314868938331,0.377546271358455,FALSE
acat_p,0.01,28630,0.145092560251484,0.141031638409344,0.149225642872111,FALSE
fisher_p,0.05,28630,0.560565840027943,0.554793400990392,0.566325984768742,FALSE
fisher_p,0.01,28630,0.392001397135871,0.38634013080119,0.397684587632172,FALSE
minp_p_analytic,0.05,28630,0.286063569682152,0.280833243660403,0.291337339861936,FALSE
minp_p_analytic,0.01,28630,0.123087670275934,0.11930299126465,0.126949015181677,FALSE
stouffer_p_analytic,0.05,28630,0.608312958435208,0.60263054271291,0.613973386167647,FALSE
stouffer_p_analytic,0.01,28630,0.436814530213063,0.431058435286912,0.442583451230016,FALSE
tfisher_p_analytic,0.05,28630,0.515193852602166,0.509386049227325,0.520998571852844,FALSE
tfisher_p_analytic,0.01,28630,0.45742228431715,0.451638705454277,0.463214505926927,FALSE
