method,lambda
omni_p_final,8.90030746465579
omni_p_mvn,8.90030746465579
omni_p_analytic,10.4575070460656
acat_p,6.51575150942931
fisher_p,10.3306584050615
minp_p_analytic,4.58134024975277
stouffer_p_analytic,11.9787251590072
tfisher_p_analytic,10.1914236079438
